---
source: "GaN Data source: C is from heat capacity of 4H-SiC, k was"
author: "Jia"
---

T (K)	rho_cp (J/m³K)	Sz (W/mK)	Sr (W/mK)
5.2600000e+02	3.3100938e+06	1.8821293e+02	2.1919278e+02
5.2700000e+02	3.3132268e+06	1.8785579e+02	2.1877685e+02
5.2800000e+02	3.3163487e+06	1.8750000e+02	2.1836250e+02
5.2900000e+02	3.3194596e+06	1.8714556e+02	2.1794972e+02
5.3000000e+02	3.3225596e+06	1.8679245e+02	2.1753849e+02
5.3100000e+02	3.3256488e+06	1.8644068e+02	2.1712882e+02
5.3200000e+02	3.3287271e+06	1.8609023e+02	2.1672068e+02
5.3300000e+02	3.3317946e+06	1.8574109e+02	2.1631407e+02
5.3400000e+02	3.3348515e+06	1.8539326e+02	2.1590899e+02
5.3500000e+02	3.3378977e+06	1.8504673e+02	2.1550542e+02
5.3600000e+02	3.3409334e+06	1.8470149e+02	2.1510336e+02
5.3700000e+02	3.3439585e+06	1.8435754e+02	2.1470279e+02
5.3800000e+02	3.3469731e+06	1.8401487e+02	2.1430372e+02
5.3900000e+02	3.3499773e+06	1.8367347e+02	2.1390612e+02
5.4000000e+02	3.3529711e+06	1.8333333e+02	2.1351000e+02
5.4100000e+02	3.3559546e+06	1.8299445e+02	2.1311534e+02
5.4200000e+02	3.3589279e+06	1.8265683e+02	2.1272214e+02
5.4300000e+02	3.3618909e+06	1.8232044e+02	2.1233038e+02
5.4400000e+02	3.3648438e+06	1.8198529e+02	2.1194007e+02
5.4500000e+02	3.3677865e+06	1.8165138e+02	2.1155120e+02
5.4600000e+02	3.3707192e+06	1.8131868e+02	2.1116373e+02
5.4700000e+02	3.3736419e+06	1.8098720e+02	2.1077769e+02
5.4800000e+02	3.3765547e+06	1.8065693e+02	2.1039306e+02
5.4900000e+02	3.3794575e+06	1.8032787e+02	2.1000984e+02
5.5000000e+02	3.3823505e+06	1.8000000e+02	2.0962800e+02
5.5100000e+02	3.3852337e+06	1.7967332e+02	2.0924755e+02
5.5200000e+02	3.3881071e+06	1.7934783e+02	2.0886848e+02
5.5300000e+02	3.3909708e+06	1.7902351e+02	2.0849078e+02
5.5400000e+02	3.3938249e+06	1.7870036e+02	2.0811444e+02
5.5500000e+02	3.3966693e+06	1.7837838e+02	2.0773946e+02
5.5600000e+02	3.3995042e+06	1.7805755e+02	2.0736582e+02
5.5700000e+02	3.4023296e+06	1.7773788e+02	2.0699354e+02
5.5800000e+02	3.4051456e+06	1.7741935e+02	2.0662258e+02
5.5900000e+02	3.4079521e+06	1.7710197e+02	2.0625295e+02
5.6000000e+02	3.4107492e+06	1.7678571e+02	2.0588464e+02
5.6100000e+02	3.4135370e+06	1.7647059e+02	2.0551765e+02
5.6200000e+02	3.4163155e+06	1.7615658e+02	2.0515195e+02
5.6300000e+02	3.4190848e+06	1.7584369e+02	2.0478756e+02
5.6400000e+02	3.4218449e+06	1.7553191e+02	2.0442446e+02
5.6500000e+02	3.4245959e+06	1.7522124e+02	2.0406266e+02
5.6600000e+02	3.4273378e+06	1.7491166e+02	2.0370212e+02
